agility :  0.20422312235459686 [11]
ants1 :  0.417432772403986 [21]
ball2 :  nan [5]
ball3 :  nan [25]
basketball :  0.5301480797955904 [19]
birds1 :  nan [40]
bolt1 :  0.6476754802756193 [16]
book :  0.3032630192381995 [20]
butterfly :  0.3696579172840861 [8]
car1 :  0.48861479125916957 [79]
conduction1 :  0.34986685860304184 [27]
crabs1 :  0.551275916105392 [9]
dinosaur :  0.25915887331635235 [16]
dribble :  nan [15]
drone1 :  0.440872613437377 [25]
drone_across :  0.5823224764536409 [4]
drone_flip :  0.3555600450966846 [9]
fernando :  0.29525731145055034 [30]
fish1 :  0.4190961151801434 [26]
fish2 :  0.3888879262790498 [19]
flamingo1 :  0.2575235896688398 [66]
frisbee :  0.4144387523858593 [21]
girl :  0.5052563688376932 [56]
glove :  0.5498655755072832 [7]
godfather :  0.3788346290204893 [23]
graduate :  0.45905051501256844 [17]
gymnastics1 :  0.4761453145901603 [43]
gymnastics2 :  0.4997460202920058 [11]
gymnastics3 :  0.41339764271218044 [7]
hand :  0.35658524212935433 [30]
hand2 :  nan [21]
handball1 :  0.5512138047197368 [27]
handball2 :  0.6307980268985144 [44]
helicopter :  0.6311542588733137 [19]
iceskater1 :  0.3173054259163795 [38]
iceskater2 :  0.36297568875959885 [18]
lamb :  0.1655969706674417 [11]
leaves :  nan [9]
marathon :  nan [14]
matrix :  0.3221158379067977 [9]
monkey :  0.48443747609853743 [7]
motocross1 :  0.37475341582709615 [11]
nature :  0.4729835935926626 [79]
pedestrian1 :  0.4544179819834729 [8]
polo :  0.4607645338166751 [5]
rabbit :  nan [22]
rabbit2 :  0.5790374259415426 [7]
road :  0.434335591229885 [23]
rowing :  nan [11]
shaking :  0.6640456167908458 [32]
singer2 :  0.6025021846252251 [2]
singer3 :  0.25745492092455213 [7]
soccer1 :  0.6485468991424727 [48]
soccer2 :  nan [20]
soldier :  0.4740735036986215 [15]
surfing :  0.4582067973911762 [1]
tiger :  0.2815827380067536 [21]
wheel :  0.2708396946948293 [6]
wiper :  0.3394961813021274 [33]
zebrafish1 :  0.2810219917767521 [28]
eval ar: 100%|████████████████████████████████████████████████████████| 1/1 [00:00<00:00,  1.25it/s]
eval eao: 100%|███████████████████████████████████████████████████████| 1/1 [00:13<00:00, 13.73s/it]
---------------------------------------------------------------------
|    Tracker Name     | Accuracy | Robustness | Lost Number |  EAO  |
---------------------------------------------------------------------
| SiamRPN++(Original) |  0.459   |   6.526    |   1301.0    | 0.026 |
